round,policy,persona,device,chosen_arm_ids,p_click,reward
1,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.125511,0
1,random,balanced,desktop,featured_service_2|testimonials_compact|highlight_plan_3,0.155511,1
1,no_change,balanced,desktop,no_change,0.065511,0
2,bandit,service_focused,mobile,featured_service_2|highlight_plan_2|hide_locations,0.281263,0
2,random,service_focused,mobile,hero_cta_emphasis|promote_testimonials|featured_service_2,0.281263,0
2,no_change,service_focused,mobile,no_change,0.031263,0
3,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.294403,1
3,random,service_focused,desktop,pricing_compact|promote_contact|services_compact,0.294403,0
3,no_change,service_focused,desktop,no_change,0.044403,0
4,bandit,location_focused,desktop,featured_service_2|hero_compact|hide_locations,0.284687,0
4,random,location_focused,desktop,locations_compact|services_compact|featured_service_2,0.284687,0
4,no_change,location_focused,desktop,no_change,0.034687,0
5,bandit,price_focused,mobile,featured_service_2|hero_compact|hide_locations,0.023326,0
5,random,price_focused,mobile,promote_contact|featured_service_1|contact_compact,0.023326,0
5,no_change,price_focused,mobile,no_change,0.023326,0
6,bandit,price_focused,desktop,featured_service_2|hero_compact|hide_locations,0.027755,0
6,random,price_focused,desktop,faq_compact|faq_top3|testimonials_single,0.027755,0
6,no_change,price_focused,desktop,no_change,0.027755,0
7,bandit,trust_focused,desktop,featured_service_2|contact_compact|hide_locations,0.037786,0
7,random,trust_focused,desktop,faq_compact|highlight_plan_1|hero_cta_emphasis,0.287786,0
7,no_change,trust_focused,desktop,no_change,0.037786,0
8,bandit,price_focused,mobile,highlight_plan_1|hero_compact|hide_locations,0.276405,0
8,random,price_focused,mobile,highlight_plan_2|featured_service_1|services_compact,0.276405,0
8,no_change,price_focused,mobile,no_change,0.026405,0
9,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.261113,0
9,random,location_focused,mobile,hero_compact|featured_service_2|faq_top3,0.011113,0
9,no_change,location_focused,mobile,no_change,0.011113,0
10,bandit,contact_focused,desktop,testimonials_single|hero_compact|hide_locations,0.040147,0
10,random,contact_focused,desktop,faq_top3|promote_contact|highlight_plan_2,0.290147,0
10,no_change,contact_focused,desktop,no_change,0.040147,0
11,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.293384,0
11,random,service_focused,desktop,featured_service_3|promote_testimonials|contact_compact,0.293384,1
11,no_change,service_focused,desktop,no_change,0.043384,0
12,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.119711,1
